"character_trait_levels_colour_text_wh2_main_trait_def_name_of_power_ar_01_lifequencher"	""	"True"
"character_trait_levels_explanation_text_wh2_main_trait_defeated_belegar_ironhammer"	"Defeated Belegar Ironhammer"	"True"
"character_trait_levels_explanation_text_wh2_dlc09_trait_defeated_khalida"	"Defeated High Queen Khalida"	"True"
"character_trait_levels_explanation_text_wh2_main_trait_wins_against_skaven"	"Achieved victory over Skaven multiple times"	"True"
"character_trait_levels_removal_text_wh2_main_trait_def_name_of_power_ar_06_fangshield"	""	"True"
"character_trait_levels_explanation_text_wh_dlc04_trait_name_dummy_ghorst"	""	"True"
"character_trait_levels_removal_text_wh_dlc03_trait_name_dummy_todbringer"	""	"True"
"character_trait_levels_colour_text_wh2_dlc09_dummy_trait_dynasty_6"	"This warrior-king was unmatched in chariot tactics. Only the finest crews served under him - and will again, of course…"	"True"
"character_trait_levels_colour_text_wh2_dlc09_dummy_trait_dynasty_5"	"Ruling in the wake of the war with Nagash, Setep restored the Necropolis and the Priesthood to their former glory."	"True"
"character_trait_levels_colour_text_wh2_dlc09_dummy_trait_dynasty_4"	"Lahmizzash continued the fight against Nagash, retaking sacred Khemri with the aid of his potent Ushabti."	"True"
"character_trait_levels_colour_text_wh2_dlc09_dummy_trait_dynasty_3"	"The son of Khetep ruled only briefly before his death, but his grasp of engineering and urban development were legendary."	"True"
"character_trait_levels_colour_text_wh2_dlc09_dummy_trait_dynasty_2"	"Conquering lands beyond the mountains east of Nehekhara, Rakhash was a bringer of great prosperity."	"True"
"character_trait_levels_colour_text_wh2_dlc09_dummy_trait_dynasty_1"	"Wakhaf repelled the nomads and secured the borders. He is a peerless master of desert warfare."	"True"
"character_trait_levels_onscreen_name_wh2_main_trait_defeated_lord_mazdamundi"	"Spawnkiller"	"True"
"character_trait_levels_colour_text_wh2_main_trait_def_name_of_power_ar_08_moonshadow"	""	"True"
"character_trait_levels_onscreen_name_wh2_main_trait_defeats_against_beastmen"	"Fears Beastmen"	"True"
"character_trait_levels_colour_text_wh2_main_trait_def_name_of_power_ca_11_gatesmiter"	""	"True"
"character_trait_levels_onscreen_name_wh2_main_trait_defeated_morathi"	"Hagbutcher"	"True"
"character_trait_levels_explanation_text_wh2_main_trait_reinforcing_vampires"	"Reinforced Vampire Counts armies in battle multiple times"	"True"
"character_trait_levels_removal_text_wh2_main_trait_wins_against_chaos"	""	"True"
"character_trait_levels_onscreen_name_wh_dlc03_trait_name_dummy_todbringer"	""	"True"
"character_trait_levels_colour_text_wh2_main_trait_ruler_personality_morathi_dark_manipulator"	""I would be so grateful for your cooperation in this, my lord. I do so hate to be... disappointed.""	"True"
"character_trait_levels_removal_text_wh2_main_trait_defeated_teclis"	""	"True"
"character_trait_levels_colour_text_wh_dlc07_trait_brt_lord_bad_perverted_1"	"You have Slaanesh's wandering eye, my lord."	"True"
"character_trait_levels_removal_text_wh2_main_trait_skv_boom_master"	""	"True"
"character_trait_levels_explanation_text_wh_dlc04_trait_name_dummy_the_grim"	""	"True"
"character_trait_levels_colour_text_wh2_dlc09_trait_settra_title_3"	""Kneel before the might of Settra the Imperishable, Khemrikhara, Lord of the Earth, He Who Holds The Sceptre, High King of Nehekhara, Ruler of the Four Horizons, Monarch of the Sky, Mighty Lion of the Infinite Desert, The King of Kings, Great Hawk of the Heavens, Majestic Emperor of the Shifting Sands and Eternal Sovereign of Khemri's Legions.""	"True"
"character_trait_levels_colour_text_wh2_dlc09_trait_settra_title_2"	""Kneel before the might of Settra the Imperishable, Khemrikhara, Lord of the Earth, He Who Holds The Sceptre, High King of Nehekhara, Ruler of the Four Horizons, Monarch of the Sky, Mighty Lion of the Infinite Desert...""	"True"
"character_trait_levels_colour_text_wh2_dlc09_trait_settra_title_1"	""Kneel before the might of Settra the Imperishable, Khemrikhara, Lord of the Earth, He Who Holds The Sceptre...""	"True"
"character_trait_levels_removal_text_wh2_main_trait_defeated_kholek_suneater"	""	"True"
"character_trait_levels_explanation_text_wh2_main_trait_def_favoured"	"Awarded through a Loyalty dilemma."	"True"
"character_trait_levels_explanation_text_wh2_main_trait_general_status_all_cursed"	""	"True"
"character_trait_levels_onscreen_name_wh_dlc07_trait_brt_lord_good_defeated_archaon_1"	"Doomslayer"	"True"
"character_trait_levels_onscreen_name_wh_dlc07_trait_brt_lord_bad_raider_1"	"Raider"	"True"
"character_trait_levels_colour_text_wh_dlc07_trait_brt_lord_good_industry_1"	"The workshop floor is far more important to the survival of the realm than the field."	"True"
"character_trait_levels_removal_text_wh_dlc07_trait_brt_lord_good_defeated_manfred_1"	""	"True"
"character_trait_levels_removal_text_wh_main_trait_name_dummy_de_bordeleaux"	""	"True"
"character_trait_levels_colour_text_wh2_main_trait_reinforcing_humans"	"Only by uniting the nations can mankind hope to thrive."	"True"
"character_trait_levels_removal_text_wh_main_trait_name_dummy_the_ever-watcher"	""	"True"
"character_trait_levels_removal_text_wh2_main_trait_defeats_against_vampires"	""	"True"
"character_trait_levels_removal_text_wh_dlc07_trait_brt_lord_bad_raider_1"	""	"True"
"character_trait_levels_removal_text_wh_dlc07_trait_brt_lord_good_victory_1"	""	"True"
"character_trait_levels_removal_text_wh_dlc07_trait_brt_lord_good_victory_2"	""	"True"
"character_trait_levels_removal_text_wh_dlc07_trait_brt_lord_good_victory_3"	""	"True"
"character_trait_levels_onscreen_name_wh_dlc07_trait_brt_lord_bad_attacker_2"	"Poor Attacker"	"True"
"character_trait_levels_onscreen_name_wh_dlc07_trait_brt_lord_bad_attacker_3"	"Incompetent Attacker"	"True"
"character_trait_levels_onscreen_name_wh_dlc07_trait_brt_lord_bad_attacker_1"	"Indecisive Attacker"	"True"
"character_trait_levels_onscreen_name_wh_dlc07_trait_brt_lord_bad_abducter_1"	"Abducter"	"True"
