cdir_events_incident_option_junctions_tables
2
id	unknown2	incident_key	option_key	value
1000764016	0	wh2_main_incident_all_public_order_down_greatly_recruitment_cost_down_greatly	GEN_CND_NOT_REGION	wh_dlc05_oak_of_ages
1001725850	0	wh2_main_incident_all_ranged_weapon_damage_up	GEN_TARGET_NONE	
1007623480	0	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3a	VAR_CHANCE	100
1010811142	0	wh2_main_dilemma_treasure_hunt_skaven_ambush_4_a	CND_NOT_CULTURE	wh2_dlc09_tmb_tomb_kings
1011473471	0	wh2_main_incident_def_growth_down	CND_ROUNDS_UNTIL_NEXT	20
101156090	0	wh2_main_incident_skv_morale_up_against_dwf	CND_ROUNDS_UNTIL_NEXT	30
1013110530	0	wh_dlc08_incident_nor_useless_contraptions	CND_FIRST_ROUND	12
1013524421	0	wh2_main_incident_lzd_melee_infantry_melee_defense_up	GEN_TARGET_NONE	
1013904176	0	wh2_main_incident_lzd_morale_up_againt_chs_nors_bst_vmp	VAR_CHANCE	5
1015908404	0	wh_dlc03_incident_bst_the_black_harvest	GEN_CND_ARMY_IN_REGION	
1016194627	0	wh2_main_incident_def_growth_down	GEN_CND_NOT_REGION	wh_dlc05_oak_of_ages
101903820	0	wh2_main_incident_intrigue_lzd_negative_1a	VAR_CHANCE	100
1023879477	0	wh2_main_incident_lzd_morale_up_againt_chs_nors_bst_vmp	GEN_TARGET_NONE	
1024562943	0	wh2_main_incident_all_wom_up	CND_FIRST_ROUND	5
1029771230	0	wh2_main_incident_encounter_at_sea_1_c	VAR_CHANCE	100
1029841342	0	wh2_main_incident_lzd_recruitment_morale_up_against_def_skv	VAR_CHANCE	5
1030899395	0	wh2_main_incident_lzd_recruitment_cost_up_starting_exp_up	CND_FIRST_ROUND	5
1031995413	0	wh2_main_incident_skv_agent_engineer	CND_UNIQUE	
1032202770	0	wh2_main_incident_lzd_morale_up_public_order_up	GEN_TARGET_REGION	
1032219655	0	wh2_dlc09_tmb_incident_unearthed_knowledge	GEN_TARGET_NONE	
1034992884	0	wh2_main_incident_hef_morale_up_melee_defense_up_against_def	CND_FIRST_ROUND	5
