character_skill_level_to_effects_junctions_tables	1
character_skill_key	effect_key	effect_scope	level	value
wh_main_skill_all_magic_all_06_evasion_slann_debuff	wh_main_effect_ability_enable_evasion	character_to_character_own	1	1.0
wh_main_skill_all_magic_all_06_evasion_slann_debuff	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wh_main_skill_all_magic_all_06_evasion_slann_debuff	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
wh_main_skill_all_magic_all_11_arcane_conduit_slann_debuff	wh_main_effect_ability_enable_arcane_conduit	character_to_character_own	1	1.0
wh_main_skill_all_magic_all_11_arcane_conduit_slann_debuff	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wh_main_skill_all_magic_all_11_arcane_conduit_slann_debuff	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
wh_main_skill_all_magic_all_06_evasion_slann_destruction	wh_main_effect_ability_enable_evasion	character_to_character_own	1	1.0
wh_main_skill_all_magic_all_06_evasion_slann_destruction	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wh_main_skill_all_magic_all_06_evasion_slann_destruction	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
wh_main_skill_all_magic_all_11_arcane_conduit_slann_destruction	wh_main_effect_ability_enable_arcane_conduit	character_to_character_own	1	1.0
wh_main_skill_all_magic_all_11_arcane_conduit_slann_destruction	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wh_main_skill_all_magic_all_11_arcane_conduit_slann_destruction	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
